question,answer
"「신용카드에 관한 안내 및 결제 요청(문서/SMS)」이 도착했는데, 왜 그런가요?","고객님의 신용카드 회사로부터 지정된 카드로 결제가 승인되지 않았다는 연락을 받았기 때문에, SMS나 납부용지를 발송하고 있습니다. 납부 기한까지 BearPay 청구서 결제, 마이페이지, 근처 편의점 또는 금융기관 창구에서 결제해 주세요."
「베어모바일 ID」란 무엇인가요?,「베어모바일 ID」는 마이페이지를 이용하기 위한 영숫자 ID입니다. 베어모바일Lite를 해지한 후에는 「베어모바일 ID(영숫자 ID)」로만 로그인할 수 있습니다.
「베어모바일 ID」와 로그인 시 사용하는 「휴대전화 번호」의 차이는 무엇인가요?,"「베어모바일 ID」는 마이페이지에 로그인할 때 필요한 ID입니다. 지금까지처럼 「휴대전화 번호」로도 로그인할 수 있지만, 「영숫자 ID」도 사용할 수 있습니다."
「베어모바일 ID」 확인 방법을 알려주세요(계약 중인 경우).,마이페이지의 「계정 관리」에서 확인할 수 있습니다. 또한 마이페이지 로그인 화면의 「ID를 잊으신 분」에서도 확인할 수 있습니다.
"「이메일로 받기」를 잘못 탭한 경우, 어떻게 취소할 수 있나요? [베어모바일Lite eSIM 간단 설정 앱]",이메일이 발송될 뿐이므로 무시해도 문제 없습니다. 「자동 음성 통화로 받기」를 원하시는 경우에는 해당 버튼을 탭하여 인증 코드를 받아 주세요.
"「이메일로 받기」를 잘못 탭한 후, 「자동 음성 통화로 받기」를 탭해서 인증 코드를 받아도 괜찮은가요? [베어모바일Lite eSIM 간단 설정 앱]",문제 없습니다. 자동 음성 통화로 받은 인증 코드를 입력해 주세요.
"「이메일로 받기」를 선택했는데 이메일이 도착하지 않는 경우, 어떻게 해야 하나요? [베어모바일Lite SIM 간단 설정 앱]","이메일이 도착하지 않는 경우에는 스팸 메일 폴더를 확인해 보세요. 그래도 이메일을 찾을 수 없다면, 「자동 음성 통화로 받기」를 선택해 음성 통화로 인증 코드를 받아 주세요."
「레귤러 플랜」에 대해 자세히 알려주세요.,레귤러 플랜」은 월 기본 요금 50000원으로 데이터 용량 20GB를 제공하는 5G 대응 플랜입니다. eSIM도 지원합니다.
「사용자 정보」에 대해 알려주세요.,"계약 시에는 「사용자 정보」를 등록합니다. 계약자와 이용자가 다른 경우, 이용자를 사용자로 등록합니다. 단, 사용자로 등록할 수 있는 사람은 가족에 한합니다."
「본인 인증 서비스(3D Secure)」에 대해 알려주세요.,"마이페이지에서 신용카드로 미납 요금을 결제할 경우, 카드 발급사의 「본인 인증 서비스(3D Secure)」에 사전 등록되어 있어야 합니다."
「음성 사서함 서비스」를 이용할 수 있나요?,마이페이지에서 「음성 사서함 팩」에 가입하면 「음성 사서함 서비스」를 이용할 수 있습니다.
「착신 전환 서비스」를 이용할 수 있나요?,「음성 사서함 팩」에 가입하면 이용할 수 있습니다.
"「자동 음성 통화로 받기」에서 들은 인증 코드를 잊어버렸는데, 어떻게 해야 하나요? [베어모바일Lite eSIM 간단 설정 앱]","「이메일로 받기」 또는 「자동 음성 통화로 받기」를 다시 탭해서 인증 코드를 재발급받아 주세요. 동일한 인증 코드를 다시 입력할 수 있습니다. 단, 재발급한 경우 이전 인증 코드는 무효가 되니 주의해 주세요."
「자동 음성 통화로 받기」를 탭했는데 전화가 오지 않습니다. 어떻게 해야 하나요? [베어모바일Lite eSIM 간단 설정 앱],전화가 오지 않는 경우에는 「이메일로 받기」를 탭해서 이메일로 인증 코드를 받아 주세요.
"「자동 음성 통화로 받기」를 잘못 탭한 경우, 어떻게 취소할 수 있나요? [베어모바일Lite eSIM 간단 설정 앱]","전화가 걸려오지만, 무시해도 문제 없습니다. 「이메일로 받기」를 원하시면 해당 버튼을 탭하여 인증 코드를 받아 주세요."
"「자동 음성 통화로 받기」를 잘못 탭한 후, 「이메일로 받기」를 탭해서 인증 코드를 받아도 괜찮은가요? [베어모바일Lite eSIM 간단 설정 앱]",문제 없습니다. 이메일로 받은 인증 코드를 입력해 주세요.
"「통신 오류」가 표시된 경우, 어떻게 해야 하나요? [베어모바일Lite SIM 간단 설정 앱]","Wi-Fi 연결 환경이 불안정할 가능성이 있습니다. Wi-Fi 연결이 안정적인지 확인하고, 안정된 장소에서 작업을 진행해 주세요."
이미 베어모바일 등의 보증 서비스에 가입한 iPhone이라도 「반입 단말기 보증 supported by AppleCare Services」에 가입할 수 있나요?,"신청일 20시 59분까지 기존 보증 서비스를 해지하면, 「반입 단말기 보증 supported by AppleCare Services」에 가입할 수 있습니다. 21시 이후 신청한 경우에는 다음날 20시 59분까지 해지 절차를 완료해 주세요."
"인터넷을 사용할 수 없는 경우, 어떻게 해야 하나요? [스마트폰/태블릿]","설정을 변경하거나, 단말기를 재시작하거나, SIM 카드를 다시 삽입하는 등의 방법이 있습니다."
콘텐츠 구매를 제한(잠금)하는 방법이 있나요? [베어모바일 일괄 결제],마이페이지의 「이용 제한」 기능을 사용하면 「베어모바일 일괄 결제」로 콘텐츠 구매를 제한할 수 있습니다.
스마트폰에서의 APN 설정(모바일 네트워크 설정) 방법을 알려주세요.,베어모바일Lite 통신 서비스를 SIM 프리 또는 SIM 락 해제된 스마트폰에서 이용하려면 APN 설정이 필요합니다. 이 설정은 스마트폰 본체에서 진행합니다.
스마트폰에서 마이페이지 자동 로그인 설정을 OFF로 하는 방법을 알려주세요.,"마이페이지에 로그인한 후, 「자동 로그인 설정」에서 「사용하지 않음」을 선택해 주세요."
"다운로드한 애플리케이션이 실행되지 않는 경우, 어떻게 해야 하나요? [베어모바일Lite SIM 간단 설정 앱]",애플리케이션이 손상되었을 가능성이 있습니다. 앱을 한 번 삭제하고 다시 다운로드해 보세요.
데이터 용량이 충분한데도 「용량이 부족합니다」라고 표시됩니다. 어떻게 해야 하나요? [베어모바일Lite eSIM 간단 설정 앱],캐시 등이 디스크 공간을 차지하고 있을 수 있습니다. OS 설정에서 불필요한 앱이나 데이터를 삭제해 보세요.
데이터 통신량을 자동으로 추가하지 않도록 설정하는 방법을 알려주세요.,자동충전을 OFF(제한 모드)로 설정하면 데이터 통신량이 자동으로 추가되지 않도록 할 수 있습니다.
네트워크 제공업체는 어디인가요? [베어모바일Lite eSIM 간단 설정 앱],네트워크 제공업체는 베어모바일Lite입니다.
"비밀번호를 여러 번 틀려서 「로그인이 제한되었습니다」라고 표시되었는데, 어떻게 해야 하나요?",비밀번호를 일정 횟수 이상 틀리면 해당 메시지가 표시됩니다. 하지만 마이페이지에서 바로 로그인 제한을 해제할 수 있으니 안심하세요.
"프로파일 다운로드는 되었지만, 연결 테스트 시 「연결에 실패했습니다」라는 화면이 나옵니다. 어떻게 해야 하나요? (iPhone 또는 iPad의 경우) [베어모바일Lite eSIM 간단 설정 앱]",연결이 불가능한 SIM이 설정되어 있을 수 있습니다. 기기의 「설정」 → 「모바일 통신」 → 「모바일 데이터 통신」에서 베어모바일Lite 회선으로 설정된 전화번호인지 확인해 보세요.
베어모바일Lite에서 타사로 이동하는 절차를 알려주세요. [휴대전화 번호 이동 (MNP)],"마이페이지에서 MNP 예약번호를 발급받은 후, 이동할 통신사에서 절차를 진행해 주세요. 베어모바일로 이동하는 경우에는 MNP 예약번호가 필요 없습니다. 이동하려는 통신사에 따라 MNP 없이 온라인으로만 절차가 가능한 경우도 있습니다."
베어모바일Lite에서 캐리어 결제를 이용할 수 있나요?,"네, 베어모바일Lite 이용 고객은 「베어모바일 일괄 결제」를 이용하실 수 있습니다."
베어모바일Lite에서 스마트폰을 구매할 수 있나요?,베어모바일Lite에서는 스마트폰을 판매하지 않습니다. 계약 전에 고객님께서 직접 스마트폰을 준비해 주세요.
베어모바일Lite로 변경했더니 「서비스 지역외」로 표시됩니다. 어떻게 해야 하나요?,APN 설정 내용을 확인해 주세요. 자세한 APN 설정은 당사 웹사이트를 참조해 주세요.
베어모바일Lite로 변경한 후 전화 발신/수신이 되지 않게 되었습니다. 어떻게 해야 하나요? [베어모바일Lite eSIM 간단 설정 앱],eSIM이 OS에 제대로 설정되지 않았을 가능성이 있습니다. 기기를 한 번 재시작해 보세요.
베어모바일Lite의 기본 요금 첫 달 0원 혜택은 언제부터 적용되나요?,번호 이동이 완료된 시점부터 적용됩니다.
베어모바일Lite는 해외 제조 통신 단말기에서도 이용할 수 있나요?,"베어모바일Lite가 지원하는 단말기라면, 해외 제조 단말기라도 이용하실 수 있습니다."
베어모바일에서의 이동이나 타사에서의 이동(MNP 전입) 신청 절차를 알려주세요.,현재 계약 중인 통신사에 따라 절차 내용이 달라집니다.
"베어모바일에서 베어모바일Lite로 변경한 경우, 해당 월의 청구는 어떻게 되나요?","변경 전 이용분은 기존대로 청구되며, 변경 후 이용분은 무료 혜택 대상 외 청구를 제외하고 무료가 됩니다."
"베어모바일에서 베어모바일Lite로 이동한 경우, 사용할 수 없게 되는 서비스는 무엇인가요?","베어모바일에서 이용 가능했던 「베어모바일 Wi-Fi 스팟」, 주요 옵션 서비스, 캐리어 메일 등은 베어모바일Lite에서는 이용할 수 없습니다."
"베어모바일에서 베어모바일Lite로 이동한 후, 베어모바일의 최종 청구 금액은 어떻게 확인하나요?","이동 후 90일 동안은 My 베어모바일/My 베어모바일에서 청구 상세를 확인할 수 있지만, 로그인 방법이 변경되는 점에 유의하세요."
베어모바일에서 베어모바일Lite로 이동하려 했더니 「고객님의 계약 정보로는 신청을 접수할 수 없습니다. MNP 예약번호를 받아 타사 휴대전화 회사에서 다시 신청해 주세요.」라는 에러 메시지가 표시되었습니다. 어떻게 해야 하나요?,현재의 베어모바일 계약 내용으로는 베어모바일Lite에 신청할 수 없습니다. 자세한 내용은 베어모바일 고객 지원에 문의해 주세요.
베어모바일에서 베어모바일Lite로 이동하는 절차를 알려주세요.,"베어모바일에서 베어모바일Lite로 이동 시, MNP 예약번호는 필요하지 않습니다. 다만, 베어모바일의 계약 내용 확인과 네트워크 인증번호(4자리) 입력이 필요하므로 사전에 확인해 주세요."
"베어모바일에서 베어모바일Lite로 이동한 경우, 단말기 할부금(분할 납부금)은 어떻게 되나요?","해약 시 단말기 할부금이 남아 있는 경우, 베어모바일 측에서 완납될 때까지 계속 납부가 필요합니다."
베어모바일에서 베어모바일Lite로 이동하면 위약금이 발생하나요?,베어모바일에서 베어모바일Lite로 이동하는 경우 「위약금 0원 혜택」이 적용되어 위약금은 발생하지 않습니다.
"베어모바일에서 갈아타는 경우, SIM 락 해제가 필요한가요?","베어모바일에서 베어모바일Lite로 이동할 때는, 기존에 사용하던 베어모바일 기기의 SIM 락 해제 절차가 동시에 이루어집니다. 따라서 고객이 별도로 SIM 락 해제 절차를 진행할 필요는 없습니다."
베어모바일의 계약 기간은 승계되나요?,"죄송하지만, 베어모바일Lite를 계약하면 계약 기간은 초기화됩니다."
베어모바일 포인트를 BearPay 포인트로 변환하는 방법을 알려주세요.,마이페이지의 포인트 관리 화면에서 변환할 포인트 수를 선택해 변환할 수 있습니다. 변환 대상은 계약 회선과 연동된 BearPay 계정 또는 특전 지급 대상으로 설정된 BearPay 계정입니다. 자동으로 포인트를 변환하는 기능도 이용하실 수 있습니다.
베어모바일 포인트 확인은 어디에서 할 수 있나요?,베어모바일Lite 마이페이지의 포인트 페이지 또는 청구서에서 확인할 수 있습니다.
마이페이지에서 BearPay 잔액은 어디에서 확인할 수 있나요?,마이페이지 또는 「BearPay 앱」에서 잔액을 확인할 수 있습니다.
마이페이지에서 「베어모바일 ID」 확인 방법을 알려주세요 (해지한 경우).,로그인 화면의 「ID를 잊으신 분」을 클릭하면 「베어모바일 ID」를 확인할 수 있습니다.
마이페이지에서 결제 방법 확인 또는 변경은 어떻게 하나요?,결제 방법의 확인 및 변경은 마이페이지에서 할 수 있습니다.
마이페이지에서 옵션 서비스 확인/신청/해지는 어떻게 하나요?,"마이페이지에 로그인한 후, 「옵션 서비스 변경」에서 절차를 진행할 수 있습니다."
"마이페이지에서 보안 번호 입력을 요구받았는데, 어떻게 해야 하나요?",SMS(이메일)로 전송된 3자리 보안 번호를 마이페이지에 입력해 주세요.
마이페이지에서 다른 휴대전화 번호로 로그인하는 방법을 알려주세요.,"먼저 마이페이지에서 로그아웃한 후, 로그인하려는 베어모바일 ID(베어모바일Lite의 휴대전화 번호 또는 영숫자 ID)와 마이페이지 비밀번호를 사용해 다시 로그인해 주세요."
마이페이지에서 요금 결제를 신용카드에서 계좌이체로 변경하려면 어떻게 해야 하나요?,"마이페이지에서 계좌이체 신청을 하거나, 결제 방법 변경 신청서를 요청하여 작성 후 우편으로 보내 주세요."
마이페이지에서 요금 결제를 다른 신용카드로 변경하려면 어떻게 해야 하나요?,"마이페이지에 로그인한 후, 「결제 방법 변경」에서 절차를 진행해 주세요."
마이페이지에서 현재 등록된 결제 계좌를 다른 계좌로 변경하려면 어떻게 해야 하나요?,"마이페이지에서 계좌이체 신청을 하거나, 결제 방법 변경 신청서를 요청하여 작성 후 우편으로 보내 주세요."
마이페이지에서 통화 옵션 변경 방법을 알려주세요.,해당 절차는 마이페이지에서 진행할 수 있습니다.
마이페이지에 대해 자세히 알려주세요.,"마이페이지는 이용 요금 확인, 계약 내용 확인 및 변경 등을 할 수 있는 회원 전용 서비스입니다."
마이페이지 비밀번호를 확인할 때 4자리 비밀번호를 3회 틀려서 잠금이 걸렸습니다. 해제 방법을 알려주세요.,밤에 자동으로 해제됩니다. 또는 채팅 지원에 문의해 주세요.
마이페이지 로그인 비밀번호 변경 방법을 알려주세요.,"마이페이지에 로그인한 후, 「계정 관리」에서 절차를 진행할 수 있습니다."
마이페이지 로그인 시 비밀번호 확인 방법을 알려주세요(계약 중인 경우).,"4자리 비밀번호를 알고 있다면, 마이페이지 로그인 화면의 「비밀번호를 잊으신 분」에서 비밀번호를 재설정할 수 있습니다."
이메일 주소 이전과 관련된 해지 방법을 알려주세요.,"베어모바일을 계약하고 있었던 경우에도, My 베어모바일에서 해지할 수 있습니다."
로그인 시 비밀번호를 확인하는 방법을 알려주세요(해지한 경우).,로그인 화면의 「비밀번호를 잊으신 분」에서 비밀번호를 확인할 수 있습니다.
한번 다운로드한 eSIM 프로파일을 삭제해버렸습니다. 어떻게 하면 되나요?,"eSIM 프로파일을 한 번 삭제하면, 애플리케이션에서 eSIM 설정을 계속할 수 없습니다. 이 경우 마이페이지에서 eSIM 프로파일 재발행을 신청한 후, 마이페이지 안내에 따라 설정을 진행해 주세요."
한 번 해지한 SIM 카드로 재계약할 수 있나요?,재계약은 불가능합니다. 새로 신청하셔야 합니다.
중고 휴대전화가 도난품인지 확인하고 싶습니다.,"휴대전화가 네트워크 이용 제한에 걸려 있는 경우, 불법으로 입수된 가능성이 있습니다. 단말기의 제조번호(IMEI)를 확인하여 네트워크 이용 제한이 있는지 확인해 주세요."
타사에서 번호이동(MNP 전입)이 불가능한 경우도 있나요?,"현재 사용 중인 통신사의 계약자 이름과 베어모바일Lite의 계약자 이름이 다를 경우, MNP로 신청할 수 없습니다. 명의를 변경하거나, 현재 명의로 베어모바일Lite에 신청해야 합니다."
"타사에서 베어모바일Lite로 이동한 경우, 언제부터 서비스를 이용할 수 있나요?","SIM 카드 초기 설정이 완료되는 즉시 서비스를 이용할 수 있습니다. 신청 완료 후, 빠르면 다음 날 SIM 카드가 발송됩니다. 도착한 SIM 카드를 스마트폰에 삽입하고 초기 설정을 진행해 주세요."
"타사 제조 휴대전화를 베어모바일Lite에서 사용할 경우, SIM 락 해제가 필요한가요?","네, SIM 락이 걸려 있는 제품은 사용할 수 없습니다."
주소 변경 절차는 어떻게 하나요?,마이페이지에서 절차를 진행할 수 있습니다.
사용 가능한 신용카드는 무엇인가요?,"VISA, Mastercard 신용카드를 등록할 수 있습니다. (AMEX는 사용하실 수 없습니다)"
이용 현황이나 이용 가능 금액 확인 방법을 알려주세요. [베어모바일 일괄 결제],마이페이지에서 이용 현황을 확인할 수 있습니다.
할인이나 캠페인 상세 정보는 어디서 확인할 수 있나요?,해당 정보는 마이페이지에서 확인하실 수 있습니다.
"동작 확인이 완료된 휴대전화를 구입했는데, SIM 카드를 삽입해도 통신이 되지 않는 이유는 무엇인가요?","베어모바일Lite에서 통신을 사용하려면, SIM 락이 해제된 단말기여야 하며 통신 설정(APN 설정 등)이 필요합니다."
동일 명의로 몇 회선까지 계약할 수 있나요?,동일 명의로 최대 10회선까지 계약이 가능합니다.
문의하고 싶을 때는 어떻게 하면 되나요?,고객센터나 베어모바일Lite의 공식 LINE 계정을 통해 채팅으로 문의할 수 있습니다. 레귤러 플랜 이용자라면 베어모바일 매장에서의 대응도 가능합니다. 대응 매장 정보는 홈페이지나 챗봇에서 확인해 주세요.
계약 시 필요한 것은 무엇인가요?,"계약자 본인의 신분증, 신용카드, 이메일 주소가 필요합니다. 현재의 전화번호를 유지하려면, 현재 통신사에서 MNP 예약번호를 미리 받아야 합니다."
계약 내용을 확인하는 방법을 알려주세요.,"요금제, 캠페인 등 계약 내용은 마이페이지에서 확인할 수 있습니다."
계약 후 전화번호를 변경할 수 있나요?,전화번호 변경은 마이페이지에서 계약자 본인이 직접 절차를 진행해 주세요.
계약 시 등록한 이메일 주소를 확인하거나 변경할 수 있나요?,계약 시 등록한 이메일 주소는 마이페이지에서 확인 및 변경할 수 있습니다.
계약 시 설정한 4자리 비밀번호(교환기용 비밀번호)를 잊어버렸습니다. 확인 방법이 있나요?,채팅 고객센터에 문의해 주세요. 비밀번호가 기재된 문서를 우편으로 보내드립니다.
"계약자가 사망한 경우, 절차가 필요한가요?","번거로우시겠지만, 「승계」 또는 「해지」 절차를 진행해 주세요."
계약자의 이름을 변경할 수 있나요? (개명/개칭/양도/명의 변경/승계),"개명, 개칭, 양도, 승계 등의 절차는 접수받고 있습니다."
자녀에게 휴대전화를 사용하게 하기 위해 부모 명의로 계약해도 괜찮나요?,"자녀가 사용하는 경우에도, 계약자는 부모 명의(법정 대리인)로 입력하고, 사용자 정보란에 자녀의 정보를 입력해 주세요. 본인 확인 서류는 계약자의 것을 업로드해 주세요."
가족 명의의 휴대전화를 본인 명의로 변경하여 이전할 수 있나요? [휴대전화 번호 이동(MNP)] (타사 → 베어모바일Lite),타사에서 베어모바일Lite로 이동할 때는 원칙적으로 타사 명의와 베어모바일Lite의 계약 명의가 동일해야 합니다.
연령 정보 제공 기능·연령 인증(연령 확인) 설정 방법을 알려주세요.,연령 정보를 처음 제공할 때는 각 사이트에서 사용자가 정보 제공에 동의해야 합니다. 연령 정보 제공 관련 등록 및 설정은 마이페이지에서 가능합니다.
매장에서 신청할 수 있나요?,"「레귤러 플랜」은 베어모바일 매장에서 신청이 가능합니다. 「스몰 플랜」은 매장에서 신청을 받지 않으며, 온라인으로만 신청해 주세요."
필요 서류 업로드 방법을 알려주세요.,SIM 카드와 eSIM 중 어느 것을 신청하느냐에 따라 업로드 방법이 다릅니다.
보유 중인 휴대전화의 SIM 카드 크기를 모르겠어요.,보유 중인 스마트폰의 사용 설명서나 제조사 사이트를 참고하여 지원하는 SIM 카드 크기를 확인해 주세요. 베어모바일Lite는 표준 SIM / 마이크로 SIM / 나노 SIM의 세 가지 크기에 대응하는 멀티 SIM을 제공합니다. 적절한 크기를 확인한 후 해당 크기로 잘라서 사용하세요.
절차에 필요한 수수료는 있나요?,신규 계약이나 번호 이동 등 각종 절차에는 수수료가 전혀 들지 않습니다.
휴대전화를 해지하려면 어떻게 해야 하나요?,해지 절차의 자세한 내용은 당사 안내 페이지를 확인해 주세요.
휴대전화를 도난당했거나 분실한 경우 어떻게 해야 하나요? (SIM 카드/eSIM 재발행),"부정 사용을 방지하기 위해, 먼저 마이페이지나 전화를 통해 회선을 정지해 주세요."
휴대전화 요금 결제에 「BearPay 잔액」을 사용하는 방법을 알려주세요.,마이페이지에서 절차를 진행하실 수 있습니다.
휴대전화 요금의 결제 상황을 확인하는 방법을 알려주세요.,"결제 상황은 마이페이지에서 확인할 수 있습니다. 단, 결제 기한일로부터 약 1주는 반영에 시간이 걸릴 수 있습니다."
결제 일정에 대해 알려주세요.,매월 1일부터 말일까지의 이용 요금은 다음 달 26일(결제일이 공휴일인 경우는 다음 영업일)에 청구됩니다.
"결제 기한까지 자동 이체가 되지 않은 경우, 어떻게 해야 하나요?","재이체는 진행되지 않으므로, 이후에 발송되는 납부용지(청구서)로 결제해 주세요. BearPay 청구서 결제, 마이페이지에서의 결제, 지정 계좌로의 이체도 가능합니다."
결제 기한까지 요금을 납부하지 않으면 어떻게 되나요?,"베어모바일Lite가 정한 시점까지 미납이 확인되면, 회선 이용 정지 또는 계약 해지가 진행될 수 있습니다."
기한이 지난 요금을 신용카드로 납부할 수 있나요?,기한이 지난 요금도 신용카드로 결제하실 수 있습니다. 마이페이지에서 절차를 진행해 주세요.
요금 결제를 계좌 이체에서 신용카드로 변경하려면 어떻게 해야 하나요?,"마이페이지에 로그인한 후, 「결제 방법 변경」에서 절차를 진행하실 수 있습니다."
요금제를 변경하는 방법을 알려주세요.,마이페이지에서 절차를 진행하실 수 있습니다.
신규 계약 시 절차를 알려주세요.,"새 전화번호를 취득하는 경우, 타사에서 번호 이동(MNP 전입)하는 경우, 베어모바일에서 이동하는 경우 각각 절차가 다릅니다."
신규 가입 시 필요한 서류는 무엇인가요?,본인 확인을 위해 운전면허증 등 신분증이 필요합니다.
신규 계약 후 첫 청구에 대해 알려주세요.,"기본 요금은 「레귤러 플랜」이 월 2,728엔, 「스몰 플랜」은 월 990엔입니다. 통화 옵션이나 반입 단말기 보증 옵션을 선택한 경우에는 해당 월 요금이 추가됩니다. 첫 달 요금은 일할 계산됩니다."
"신규 신청 시, 본인 확인 서류에 기재된 주소와 다른 주소로 SIM 카드를 배송받을 수 있나요?",SIM 카드는 본인 확인 서류에 기재된 주소로만 배송됩니다. 그 외의 주소로는 배송이 불가능합니다.
